Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
9/28/2015 8:43 AM,Midway and Cottage Grove,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
9/28/2015 9:05 AM,5900 Payne Dr,Caucasian,Male,Speed,Speeding,N/A,Verbal Warning,No
9/29/2015 8:53 AM,5400 S Cottage Grove,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 09/30/2015 
10/1/2015 9:42 PM,5700 Hyde Park,Asian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/2/2015 5:13 PM,930 E 55th ,Caucasian,Male,Lane Violation,Improper passing/overtaking,1 citation issued,Citation Issued,No
No traffic stops for 10/03/2015 
No traffic stops for 10/04/2015 
No traffic stops for 10/05/2015 
10/6/2015 4:41 PM,5900 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/6/2015 11:16 PM,5500 Blackstone,Hispanic,Male,Traffic Sign/Signal,Ran two stop signs,N/A,Verbal Warning,No
No traffic stops for 10/07/2015 
No traffic stops for 10/08/2015 
No traffic stops for 10/09/2015 
No traffic stops for 10/10/2015 
No traffic stops for 10/11/2015 
No traffic stops for 10/12/2015 
No traffic stops for 10/13/2015 
10/14/2015 1:25 PM,5734 S Ellis,Caucasian,Female,Lane Violation,Improper passing/overtaking,2 citations issued for failure to yield to pedestrians and improper overtaking,Citation Issued,No
10/14/2015 8:57 PM,1200 E 55th,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/15/2015 10:30 PM,4100 S Drexel,Asian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
10/16/2015 9:21 AM,1314 E 53rd,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 10/17/2015 
No traffic stops for 10/18/2015 
10/19/2015 10:57 PM,5800 Blackstone,Caucasian,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
