Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
10/3/2016 1:20 PM,832 E Midway,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/5/2016 12:17 AM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and suspended license,Citation issued,No
10/6/2015 8:10 PM,6000 S Drexel,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
10/8/2016 10:24 PM,5500 Dorchester,Hispanic,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/9/2016 8:10 PM,6300 Stony Island,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/10/2016 8:28 AM,5500 S University,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/10/2016 10:15 PM,Midway Plaisance and Cottage Grove,African American,Male,Equipment,Equipment malfunction (alarm),N/A,Verbal Warning,No
10/13/2016 2:34 PM,900 E Midway,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
10/14/2016 11:38 AM,855 E 58th,Caucasian,Female,Lane Violation,Illegal turn in front of CTA bus,N/A,Verbal Warning,No
10/15/2016 1:13 AM,5100 S East End,Caucasian,Male,Lane Violation,Failure to signal,N/A,Verbal Warning,No
10/15/2016 9:34 AM,5800 S Woodlawn,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
10/15/2016 12:31 PM,6000 S Woodlawn,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
10/16/2016 12:04 PM,5100 S Kenwood,African American,Male,Lane Violation,Failure to signal,N/A,Verbal Warning,No
10/16/2016 4:27 PM,5900 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and suspended license,Citation Issued,No
10/17/2016 9:44 PM,5000 Drexel,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
